"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value"
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1980",2.7153520928
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1981",4.1817776678
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1982",-0.35703278807
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1983",-0.19402937144
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1984",6.5825592914
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1985",5.0323648762
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1986",1.8471876186
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1987",5.2932701590
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1988",4.4427485653
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1989",4.304412596
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1990",1.4030012702
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1991",-1.3355756804
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1992",2.9876438072
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1993",4.0915734297
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1994",4.7379483780
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1995",3.0715763629
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1996",4.0501821776
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1997",4.1655291606
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1998",4.9922922466
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1999",4.2021076383
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2000",3.3216227559
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2001",2.6873230282
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2002",3.9983857117
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2003",2.9026423712
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2004",3.9594880940
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2005",3.0644131608
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2006",2.7593312422
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2007",4.4258536544
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2008",2.5412304251
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2009",1.8916445379
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2010",2.4458648758
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2011",2.7260982958
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2012",3.9175876848
