"Title",Genre
"The Legend of Zelda: Ocarina of Time",Action Adventure
"The Legend of Zelda: Ocarina of Time",Fantasy
"Tony Hawk's Pro Skater 2",Sports
"Tony Hawk's Pro Skater 2",Alternative
"Tony Hawk's Pro Skater 2",Skateboarding
"Grand Theft Auto IV",Action Adventure
"Grand Theft Auto IV",Modern
"Grand Theft Auto IV",Modern
"Grand Theft Auto IV",Open-World
"SoulCalibur",Action
"SoulCalibur",Fighting
"SoulCalibur",3D
"Grand Theft Auto IV",Action Adventure
"Grand Theft Auto IV",Modern
"Grand Theft Auto IV",Modern
"Grand Theft Auto IV",Open-World
"Super Mario Galaxy",Action
"Super Mario Galaxy",Platformer
"Super Mario Galaxy",Platformer
"Super Mario Galaxy",3D
"Super Mario Galaxy",3D
"Super Mario Galaxy 2",Action
"Super Mario Galaxy 2",Platformer
"Super Mario Galaxy 2",Platformer
"Super Mario Galaxy 2",3D
"Super Mario Galaxy 2",3D
"Grand Theft Auto V",Action Adventure
"Grand Theft Auto V",Modern
"Grand Theft Auto V",Open-World
"Grand Theft Auto V",Modern
"Grand Theft Auto V",Action Adventure
"Grand Theft Auto V",Modern
"Grand Theft Auto V",Open-World
"Grand Theft Auto V",Modern
"Grand Theft Auto V",Action Adventure
"Grand Theft Auto V",Modern
"Grand Theft Auto V",Open-World
"Tony Hawk's Pro Skater 2",Sports
"Tony Hawk's Pro Skater 2",Alternative
"Tony Hawk's Pro Skater 2",Skateboarding
"The Legend of Zelda: Breath of the Wild",Action Adventure
"The Legend of Zelda: Breath of the Wild",Open-World
"Tony Hawk's Pro Skater 3",Sports
"Tony Hawk's Pro Skater 3",Alternative
"Tony Hawk's Pro Skater 3",Skateboarding
"Perfect Dark",Action
"Perfect Dark",Shooter
"Perfect Dark",First-Person
"Perfect Dark",Sci-Fi
"Grand Theft Auto V",Action Adventure
"Grand Theft Auto V",Modern
"Grand Theft Auto V",Open-World
"Metroid Prime",Action
"Metroid Prime",Shooter
"Metroid Prime",First-Person
"Metroid Prime",Sci-Fi
"Grand Theft Auto III",Action Adventure
"Grand Theft Auto III",Modern
"Super Mario Odyssey",Action
"Super Mario Odyssey",Platformer
"Super Mario Odyssey",3D
"Halo: Combat Evolved",Action
"Halo: Combat Evolved",Shooter
"Halo: Combat Evolved",First-Person
"Halo: Combat Evolved",Sci-Fi
"NFL 2K1",Sports
"NFL 2K1",Traditional
"NFL 2K1",Football
"NFL 2K1",Sim
"Half-Life 2",Action
"Half-Life 2",Shooter
"Half-Life 2",Shooter
"Half-Life 2",First-Person
"Half-Life 2",Sci-Fi
"Half-Life 2",Sci-Fi
"Half-Life 2",Arcade
"Grand Theft Auto V",Modern
"Grand Theft Auto V",Action Adventure
"Grand Theft Auto V",Open-World
"The Legend of Zelda: Breath of the Wild",Fantasy
"The Legend of Zelda: Breath of the Wild",Fantasy
"The Legend of Zelda: Breath of the Wild",Action Adventure
"The Legend of Zelda: Breath of the Wild",Open-World
"BioShock",Action
"BioShock",Shooter
"BioShock",Shooter
"BioShock",First-Person
"BioShock",Sci-Fi
"BioShock",Sci-Fi
"BioShock",Arcade
"GoldenEye 007",Action
"GoldenEye 007",Shooter
"GoldenEye 007",First-Person
"GoldenEye 007",Modern
"Uncharted 2: Among Thieves",Action Adventure
"Uncharted 2: Among Thieves",Modern
"Uncharted 2: Among Thieves",Modern
"Uncharted 2: Among Thieves",Linear
"Resident Evil 4",Action Adventure
"Resident Evil 4",Horror
"The Orange Box",Action
"The Orange Box",Miscellaneous
"The Orange Box",Shooter
"The Orange Box",Compilation
"The Orange Box",First-Person
"The Orange Box",Sci-Fi
"The Orange Box",Action
"The Orange Box",Miscellaneous
"The Orange Box",Shooter
"The Orange Box",Compilation
"The Orange Box",First-Person
"The Orange Box",Sci-Fi
"Batman: Arkham City",Action Adventure
"Batman: Arkham City",Fantasy
"Batman: Arkham City",Fantasy
"Batman: Arkham City",Open-World
"Tekken 3",Action
"Tekken 3",Fighting
"Tekken 3",3D
"Mass Effect 2",Role-Playing
"Mass Effect 2",Action RPG
"Mass Effect 2",Action RPG
"The Legend of Zelda: Twilight Princess",Action Adventure
"The Legend of Zelda: Twilight Princess",Fantasy
"The Elder Scrolls V: Skyrim",Role-Playing
"The Elder Scrolls V: Skyrim",First-Person
"The Elder Scrolls V: Skyrim",First-Person
"The Elder Scrolls V: Skyrim",Western-Style
"Half-Life",Action
"Half-Life",Shooter
"Half-Life",Shooter
"Half-Life",First-Person
"Half-Life",Sci-Fi
"Half-Life",Sci-Fi
"Half-Life",Arcade
"Resident Evil 4",Action Adventure
"Resident Evil 4",Horror
"The Legend of Zelda: The Wind Waker",Action Adventure
"The Legend of Zelda: The Wind Waker",Fantasy
"Gran Turismo",Driving
"Gran Turismo",Racing
"Gran Turismo",GT / Street
"BioShock",Action
"BioShock",Shooter
"BioShock",Shooter
"BioShock",First-Person
"BioShock",Sci-Fi
"BioShock",Sci-Fi
"BioShock",Arcade
"Metal Gear Solid 2: Sons of Liberty",Action Adventure
"Metal Gear Solid 2: Sons of Liberty",Modern
"Grand Theft Auto Double Pack",Miscellaneous
"Grand Theft Auto Double Pack",Compilation
"Baldur's Gate II: Shadows of Amn",Role-Playing
"Baldur's Gate II: Shadows of Amn",PC-style RPG
"Baldur's Gate II: Shadows of Amn",PC-style RPG
"Baldur's Gate II: Shadows of Amn",Western-Style
"Grand Theft Auto: San Andreas",Action Adventure
"Grand Theft Auto: San Andreas",Modern
"Grand Theft Auto: Vice City",Action Adventure
"Grand Theft Auto: Vice City",Modern
"LittleBigPlanet",Action
"LittleBigPlanet",Platformer
"LittleBigPlanet",Platformer
"LittleBigPlanet",3D
"LittleBigPlanet",2D
"LittleBigPlanet",3D
"The Legend of Zelda Collector's Edition",Action Adventure
"The Legend of Zelda Collector's Edition",Fantasy
"Red Dead Redemption",Action
"Red Dead Redemption",Shooter
"Red Dead Redemption",Third-Person
"Red Dead Redemption",Historic
"Red Dead Redemption",Action Adventure
"Red Dead Redemption",Historic
"Red Dead Redemption",Historic
"Red Dead Redemption",Open-World
"Gran Turismo 3: A-Spec",Driving
"Gran Turismo 3: A-Spec",Racing
"Gran Turismo 3: A-Spec",GT / Street
"Halo 2",Action
"Halo 2",Shooter
"Halo 2",First-Person
"Halo 2",Sci-Fi
"The Legend of Zelda: A Link to the Past",Action Adventure
