Year,AverageScore,GDPChange
2020,74.63455149501661,2.94127
2019,76.7815699658703,2.91352
2018,74.46159067767847,3.54904
2017,74.79279506235042,3.71863
2016,75.13109344532774,3.13504
2015,75.34388314059647,3.28297
2014,75.15158924205379,3.45452
2013,75.52024027161139,3.35617
2012,75.22497384025114,3.31957
2011,72.7002457002457,3.99762
2010,73.171875,5.33234
2009,72.11851851851851,-0.485915
2008,75.46060606060605,2.90325
2007,78.43661971830986,5.40803
2006,72.48299319727892,5.3764
2005,74.17365269461078,4.81367
2004,75.5,5.12929
2003,70.04166666666667,3.74912
2002,81.41176470588235,2.89899
2001,67.27272727272727,2.37723
2000,72.14285714285714,4.86722
1999,64.17647058823529,3.3862
1998,63.85,2.53608
1996,59.96551724137931,3.96069
1995,73.74193548387096,3.52232
1994,77.66990291262135,3.7835
1993,58.6,2.63278
1992,76.01190476190476,3.67312
1991,79.11666666666666,3.39745
1990,69.81132075471699,4.45386
1989,66.83333333333333,3.83614
1988,78.33333333333333,4.36727
1986,69.66666666666667,3.31255
1985,33.5,3.94392
1983,63.27272727272727,2.3891
1982,71.14285714285714,0.571183
