Year,AverageScore,GDPChange
2019,8.496997426365455,2.91352
2018,8.641993957703928,3.54904
2017,8.319687241751955,3.71863
2016,9.02535885167464,3.13504
2015,8.738262910798122,3.28297
2014,8.568633317376735,3.45452
2013,8.975151666251143,3.35617
2012,6.964448495897903,3.31957
2011,8.335900962861073,3.99762
2010,8.262188816693161,5.33234
2009,7.985898520626619,-0.485915
2008,8.688242052853314,2.90325
2007,9.100308222282658,5.40803
2006,9.005627914455701,5.3764
2005,9.083910495471496,4.81367
2004,5.22874834144184,5.12929
2003,8.75970223325062,3.74912
2002,7.946512355333125,2.89899
2001,8.658292626192138,2.37723
2000,8.988372093023257,4.86722
1999,9.221621621621622,3.3862
1998,8.743448275862068,2.53608
1997,9.51605504587156,4.21979
1996,9.87111111111111,3.96069
